Compounded Profit Growth,Stockname,Compounded Profit Growth.1
10 Years,526433,%
5 Years,526433,%
3 Years,526433,%
TTM,526433,-162%
10 Years,532407,12%
5 Years,532407,19%
3 Years,532407,45%
TTM,532407,36%
10 Years,544021,%
5 Years,544021,-5%
3 Years,544021,3%
TTM,544021,-25%
10 Years,AARTIDRUGS,%
5 Years,AARTIDRUGS,14%
3 Years,AARTIDRUGS,-15%
TTM,AARTIDRUGS,-13%
10 Years,AARTIIND,10%
5 Years,AARTIIND,-3%
3 Years,AARTIIND,-7%
TTM,AARTIIND,1%
10 Years,AARTIPHARM,%
5 Years,AARTIPHARM,%
3 Years,AARTIPHARM,%
TTM,AARTIPHARM,19%
10 Years,AARTISURF,%
5 Years,AARTISURF,%
3 Years,AARTISURF,0%
TTM,AARTISURF,28%
10 Years,ABB,21%
5 Years,ABB,20%
3 Years,ABB,93%
TTM,ABB,58%
10 Years,ACC,7%
5 Years,ACC,7%
3 Years,ACC,12%
TTM,ACC,137%
10 Years,ADANIENT,5%
5 Years,ADANIENT,43%
3 Years,ADANIENT,48%
TTM,ADANIENT,49%
10 Years,AFFLE,%
5 Years,AFFLE,44%
3 Years,AFFLE,30%
TTM,AFFLE,24%
10 Years,ALKYLAMINE,13%
5 Years,ALKYLAMINE,12%
3 Years,ALKYLAMINE,-20%
TTM,ALKYLAMINE,-25%
10 Years,ANGELONE,%
5 Years,ANGELONE,70%
3 Years,ANGELONE,55%
TTM,ANGELONE,29%
10 Years,ARE&M,%
5 Years,ARE&M,14%
3 Years,ARE&M,13%
TTM,ARE&M,22%
10 Years,ASAHIINDIA,25%
5 Years,ASAHIINDIA,12%
3 Years,ASAHIINDIA,38%
TTM,ASAHIINDIA,-17%
10 Years,ASHOKLEY,21%
5 Years,ASHOKLEY,4%
3 Years,ASHOKLEY,206%
TTM,ASHOKLEY,44%
10 Years,ASIANPAINT,16%
5 Years,ASIANPAINT,21%
3 Years,ASIANPAINT,20%
TTM,ASIANPAINT,9%
10 Years,ASTRAL,21%
5 Years,ASTRAL,22%
3 Years,ASTRAL,10%
TTM,ASTRAL,14%
10 Years,AXISBANK,15%
5 Years,AXISBANK,39%
3 Years,AXISBANK,54%
TTM,AXISBANK,17%
10 Years,BAJAJ-AUTO,9%
5 Years,BAJAJ-AUTO,11%
3 Years,BAJAJ-AUTO,17%
TTM,BAJAJ-AUTO,22%
10 Years,BAJAJELEC,%
5 Years,BAJAJELEC,-3%
3 Years,BAJAJELEC,-5%
TTM,BAJAJELEC,-41%
10 Years,BAJAJFINSV,18%
5 Years,BAJAJFINSV,20%
3 Years,BAJAJFINSV,22%
TTM,BAJAJFINSV,18%
10 Years,BAJFINANCE,%
5 Years,BAJFINANCE,29%
3 Years,BAJFINANCE,48%
TTM,BAJFINANCE,21%
10 Years,BALAMINES,20%
5 Years,BALAMINES,12%
3 Years,BALAMINES,-5%
TTM,BALAMINES,-23%
10 Years,BATAINDIA,4%
5 Years,BATAINDIA,-2%
3 Years,BATAINDIA,77%
TTM,BATAINDIA,14%
10 Years,BEL,15%
5 Years,BEL,16%
3 Years,BEL,24%
TTM,BEL,34%
10 Years,BERGEPAINT,17%
5 Years,BERGEPAINT,19%
3 Years,BERGEPAINT,18%
TTM,BERGEPAINT,22%
10 Years,BHARTIARTL,16%
5 Years,BHARTIARTL,122%
3 Years,BHARTIARTL,-2%
TTM,BHARTIARTL,8%
10 Years,BOROLTD,%
5 Years,BOROLTD,20%
3 Years,BOROLTD,18%
TTM,BOROLTD,48%
10 Years,BRITANNIA,19%
5 Years,BRITANNIA,13%
3 Years,BRITANNIA,5%
TTM,BRITANNIA,3%
10 Years,BSE,10%
5 Years,BSE,17%
3 Years,BSE,36%
TTM,BSE,130%
10 Years,CAMS,%
5 Years,CAMS,21%
3 Years,CAMS,25%
TTM,CAMS,29%
10 Years,CAMPUS,%
5 Years,CAMPUS,149%
3 Years,CAMPUS,41%
TTM,CAMPUS,304%
10 Years,CDSL,29%
5 Years,CDSL,30%
3 Years,CDSL,28%
TTM,CDSL,64%
10 Years,CENTUM,%
5 Years,CENTUM,%
3 Years,CENTUM,%
TTM,CENTUM,-163%
10 Years,CGPOWER,19%
5 Years,CGPOWER,42%
3 Years,CGPOWER,141%
TTM,CGPOWER,9%
10 Years,COCHINSHIP,%
5 Years,COCHINSHIP,11%
3 Years,COCHINSHIP,9%
TTM,COCHINSHIP,169%
10 Years,COFORGE,14%
5 Years,COFORGE,15%
3 Years,COFORGE,20%
TTM,COFORGE,3%
10 Years,CONCOR,3%
5 Years,CONCOR,1%
3 Years,CONCOR,32%
TTM,CONCOR,14%
10 Years,CYIENT,11%
5 Years,CYIENT,9%
3 Years,CYIENT,26%
TTM,CYIENT,16%
10 Years,DABUR,7%
5 Years,DABUR,4%
3 Years,DABUR,2%
TTM,DABUR,8%
10 Years,DEEPAKNTR,%
5 Years,DEEPAKNTR,33%
3 Years,DEEPAKNTR,-2%
TTM,DEEPAKNTR,5%
10 Years,DIVISLAB,8%
5 Years,DIVISLAB,3%
3 Years,DIVISLAB,-7%
TTM,DIVISLAB,13%
10 Years,DIXON,39%
5 Years,DIXON,42%
3 Years,DIXON,32%
TTM,DIXON,56%
10 Years,DMART,32%
5 Years,DMART,23%
3 Years,DMART,32%
TTM,DMART,11%
10 Years,DRREDDY,11%
5 Years,DRREDDY,24%
3 Years,DRREDDY,41%
TTM,DRREDDY,18%
10 Years,EICHERMOT,27%
5 Years,EICHERMOT,13%
3 Years,EICHERMOT,44%
TTM,EICHERMOT,30%
10 Years,ETHOSLTD,%
5 Years,ETHOSLTD,44%
3 Years,ETHOSLTD,160%
TTM,ETHOSLTD,34%
10 Years,EXIDEIND,5%
5 Years,EXIDEIND,2%
3 Years,EXIDEIND,2%
TTM,EXIDEIND,4%
10 Years,FINEORG,%
5 Years,FINEORG,25%
3 Years,FINEORG,51%
TTM,FINEORG,-24%
10 Years,GMMPFAUDLR,25%
5 Years,GMMPFAUDLR,29%
3 Years,GMMPFAUDLR,29%
TTM,GMMPFAUDLR,-9%
10 Years,GODREJPROP,17%
5 Years,GODREJPROP,25%
3 Years,GODREJPROP,70%
TTM,GODREJPROP,73%
10 Years,GREENLAM,159%
5 Years,GREENLAM,12%
3 Years,GREENLAM,18%
TTM,GREENLAM,-9%
10 Years,GREENPANEL,%
5 Years,GREENPANEL,33%
3 Years,GREENPANEL,26%
TTM,GREENPANEL,-44%
10 Years,GRSE,12%
5 Years,GRSE,26%
3 Years,GRSE,31%
TTM,GRSE,44%
10 Years,HAL,%
5 Years,HAL,27%
3 Years,HAL,33%
TTM,HAL,37%
10 Years,HAPPSTMNDS,%
5 Years,HAPPSTMNDS,55%
3 Years,HAPPSTMNDS,14%
TTM,HAPPSTMNDS,-3%
10 Years,HAVELLS,11%
5 Years,HAVELLS,10%
3 Years,HAVELLS,8%
TTM,HAVELLS,25%
10 Years,HCLTECH,15%
5 Years,HCLTECH,9%
3 Years,HCLTECH,12%
TTM,HCLTECH,9%
10 Years,HDFCAMC,%
5 Years,HDFCAMC,%
3 Years,HDFCAMC,%
TTM,HDFCAMC,30%
10 Years,HDFCBANK,22%
5 Years,HDFCBANK,23%
3 Years,HDFCBANK,26%
TTM,HDFCBANK,40%
10 Years,HDFCLIFE,8%
5 Years,HDFCLIFE,6%
3 Years,HDFCLIFE,5%
TTM,HDFCLIFE,15%
10 Years,HERITGFOOD,8%
5 Years,HERITGFOOD,4%
3 Years,HERITGFOOD,-12%
TTM,HERITGFOOD,120%
10 Years,HEROMOTOCO,7%
5 Years,HEROMOTOCO,2%
3 Years,HEROMOTOCO,11%
TTM,HEROMOTOCO,34%
10 Years,HINDUNILVR,11%
5 Years,HINDUNILVR,11%
3 Years,HINDUNILVR,8%
TTM,HINDUNILVR,0%
10 Years,HLEGLAS,%
5 Years,HLEGLAS,12%
3 Years,HLEGLAS,-15%
TTM,HLEGLAS,-56%
10 Years,HNDFDS,%
5 Years,HNDFDS,51%
3 Years,HNDFDS,36%
TTM,HNDFDS,22%
10 Years,ICICIBANK,15%
5 Years,ICICIBANK,60%
3 Years,ICICIBANK,34%
TTM,ICICIBANK,22%
10 Years,ICICIGI,14%
5 Years,ICICIGI,13%
3 Years,ICICIGI,9%
TTM,ICICIGI,19%
10 Years,ICICIPRULI,-6%
5 Years,ICICIPRULI,-2%
3 Years,ICICIPRULI,-4%
TTM,ICICIPRULI,1%
10 Years,IDEAFORGE,%
5 Years,IDEAFORGE,%
3 Years,IDEAFORGE,71%
TTM,IDEAFORGE,183%
10 Years,IDFCFIRSTB,%
5 Years,IDFCFIRSTB,29%
3 Years,IDFCFIRSTB,84%
TTM,IDFCFIRSTB,4%
10 Years,INDIGO,%
5 Years,INDIGO,102%
3 Years,INDIGO,47%
TTM,INDIGO,103%
10 Years,INDIGOPNTS,%
5 Years,INDIGOPNTS,%
3 Years,INDIGOPNTS,%
TTM,INDIGOPNTS,0%
10 Years,INFY,9%
5 Years,INFY,11%
3 Years,INFY,10%
TTM,INFY,8%
10 Years,IRCON,2%
5 Years,IRCON,16%
3 Years,IRCON,34%
TTM,IRCON,20%
10 Years,IRCTC,%
5 Years,IRCTC,%
3 Years,IRCTC,%
TTM,IRCTC,17%
10 Years,IREDA,%
5 Years,IREDA,34%
3 Years,IREDA,53%
TTM,IREDA,45%
10 Years,ITC,9%
5 Years,ITC,10%
3 Years,ITC,16%
TTM,ITC,3%
10 Years,JIOFIN,%
5 Years,JIOFIN,%
3 Years,JIOFIN,%
TTM,JIOFIN,6282%
10 Years,JUBLFOOD,8%
5 Years,JUBLFOOD,-4%
3 Years,JUBLFOOD,3%
TTM,JUBLFOOD,1%
10 Years,KALYANKJIL,%
5 Years,KALYANKJIL,176%
3 Years,KALYANKJIL,367%
TTM,KALYANKJIL,29%
10 Years,KAYNES,%
5 Years,KAYNES,%
3 Years,KAYNES,166%
TTM,KAYNES,93%
10 Years,KEI,%
5 Years,KEI,26%
3 Years,KEI,29%
TTM,KEI,23%
10 Years,KOTAKBANK,22%
5 Years,KOTAKBANK,20%
3 Years,KOTAKBANK,22%
TTM,KOTAKBANK,14%
10 Years,KPIGREEN,%
5 Years,KPIGREEN,101%
3 Years,KPIGREEN,95%
TTM,KPIGREEN,62%
10 Years,KPITTECH,%
5 Years,KPITTECH,49%
3 Years,KPITTECH,61%
TTM,KPITTECH,53%
10 Years,KSCL,4%
5 Years,KSCL,10%
3 Years,KSCL,2%
TTM,KSCL,4%
10 Years,LALPATHLAB,16%
5 Years,LALPATHLAB,12%
3 Years,LALPATHLAB,7%
TTM,LALPATHLAB,45%
10 Years,LATENTVIEW,25%
5 Years,LATENTVIEW,23%
3 Years,LATENTVIEW,21%
TTM,LATENTVIEW,5%
10 Years,LT,11%
5 Years,LT,8%
3 Years,LT,-2%
TTM,LT,19%
10 Years,LTIM,16%
5 Years,LTIM,25%
3 Years,LTIM,33%
TTM,LTIM,2%
10 Years,LTTS,%
5 Years,LTTS,11%
3 Years,LTTS,26%
TTM,LTTS,5%
10 Years,LXCHEM,%
5 Years,LXCHEM,10%
3 Years,LXCHEM,-2%
TTM,LXCHEM,18%
10 Years,M&M,10%
5 Years,M&M,17%
3 Years,M&M,80%
TTM,M&M,3%
10 Years,MANKIND,%
5 Years,MANKIND,%
3 Years,MANKIND,14%
TTM,MANKIND,33%
10 Years,MAPMYINDIA,%
5 Years,MAPMYINDIA,44%
3 Years,MAPMYINDIA,37%
TTM,MAPMYINDIA,20%
10 Years,MARICO,12%
5 Years,MARICO,6%
3 Years,MARICO,8%
TTM,MARICO,12%
10 Years,MARUTI,18%
5 Years,MARUTI,18%
3 Years,MARUTI,45%
TTM,MARUTI,51%
10 Years,MAZDOCK,%
5 Years,MAZDOCK,29%
3 Years,MAZDOCK,47%
TTM,MAZDOCK,92%
10 Years,METROBRAND,19%
5 Years,METROBRAND,23%
3 Years,METROBRAND,81%
TTM,METROBRAND,20%
10 Years,MOLDTECH,30%
5 Years,MOLDTECH,18%
3 Years,MOLDTECH,41%
TTM,MOLDTECH,-18%
10 Years,MOLDTKPAC,21%
5 Years,MOLDTKPAC,17%
3 Years,MOLDTKPAC,11%
TTM,MOLDTKPAC,-17%
10 Years,MOTHERSON,14%
5 Years,MOTHERSON,12%
3 Years,MOTHERSON,39%
TTM,MOTHERSON,108%
10 Years,MTARTECH,%
5 Years,MTARTECH,%
3 Years,MTARTECH,7%
TTM,MTARTECH,-63%
10 Years,MUFTI,%
5 Years,MUFTI,%
3 Years,MUFTI,166%
TTM,MUFTI,-20%
10 Years,MUTHOOTFIN,%
5 Years,MUTHOOTFIN,16%
3 Years,MUTHOOTFIN,4%
TTM,MUTHOOTFIN,17%
10 Years,NAUKRI,25%
5 Years,NAUKRI,50%
3 Years,NAUKRI,61%
TTM,NAUKRI,55%
10 Years,NAVINFLUOR,15%
5 Years,NAVINFLUOR,9%
3 Years,NAVINFLUOR,-2%
TTM,NAVINFLUOR,-40%
10 Years,NAZARA,%
5 Years,NAZARA,61%
3 Years,NAZARA,97%
TTM,NAZARA,70%
10 Years,NEOGEN,26%
5 Years,NEOGEN,11%
3 Years,NEOGEN,4%
TTM,NEOGEN,-23%
10 Years,NESTLEIND,13%
5 Years,NESTLEIND,20%
3 Years,NESTLEIND,24%
TTM,NESTLEIND,19%
10 Years,NETWEB,%
5 Years,NETWEB,95%
3 Years,NETWEB,110%
TTM,NETWEB,86%
10 Years,PAGEIND,14%
5 Years,PAGEIND,8%
3 Years,PAGEIND,19%
TTM,PAGEIND,10%
10 Years,PARAS,%
5 Years,PARAS,10%
3 Years,PARAS,24%
TTM,PARAS,13%
10 Years,PERSISTENT,16%
5 Years,PERSISTENT,27%
3 Years,PERSISTENT,36%
TTM,PERSISTENT,22%
10 Years,PIDILITIND,15%
5 Years,PIDILITIND,14%
3 Years,PIDILITIND,16%
TTM,PIDILITIND,35%
10 Years,PIIND,24%
5 Years,PIIND,33%
3 Years,PIIND,32%
TTM,PIIND,29%
10 Years,POLYCAB,34%
5 Years,POLYCAB,28%
3 Years,POLYCAB,25%
TTM,POLYCAB,23%
10 Years,PRINCEPIPE,%
5 Years,PRINCEPIPE,16%
3 Years,PRINCEPIPE,-9%
TTM,PRINCEPIPE,39%
10 Years,RAILTEL,%
5 Years,RAILTEL,15%
3 Years,RAILTEL,24%
TTM,RAILTEL,44%
10 Years,RAYMOND,33%
5 Years,RAYMOND,58%
3 Years,RAYMOND,99%
TTM,RAYMOND,-7%
10 Years,REDTAPE,%
5 Years,REDTAPE,%
3 Years,REDTAPE,%
TTM,REDTAPE,0%
10 Years,RELAXO,12%
5 Years,RELAXO,3%
3 Years,RELAXO,-11%
TTM,RELAXO,10%
10 Years,RELIANCE,13%
5 Years,RELIANCE,12%
3 Years,RELIANCE,16%
TTM,RELIANCE,7%
10 Years,ROSSARI,%
5 Years,ROSSARI,23%
3 Years,ROSSARI,18%
TTM,ROSSARI,27%
10 Years,ROUTE,%
5 Years,ROUTE,45%
3 Years,ROUTE,40%
TTM,ROUTE,0%
10 Years,RVNL,%
5 Years,RVNL,18%
3 Years,RVNL,17%
TTM,RVNL,-1%
10 Years,SBICARD,23%
5 Years,SBICARD,23%
3 Years,SBICARD,35%
TTM,SBICARD,8%
10 Years,SBIN,17%
5 Years,SBIN,99%
3 Years,SBIN,44%
TTM,SBIN,9%
10 Years,SIEMENS,%
5 Years,SIEMENS,17%
3 Years,SIEMENS,36%
TTM,SIEMENS,39%
10 Years,SONACOMS,%
5 Years,SONACOMS,24%
3 Years,SONACOMS,32%
TTM,SONACOMS,26%
10 Years,SPICELEC,%
5 Years,SPICELEC,6%
3 Years,SPICELEC,-6%
TTM,SPICELEC,-302%
10 Years,SRF,24%
5 Years,SRF,16%
3 Years,SRF,4%
TTM,SRF,-36%
10 Years,SUNPHARMA,8%
5 Years,SUNPHARMA,23%
3 Years,SUNPHARMA,25%
TTM,SUNPHARMA,19%
10 Years,TATACONSUM,12%
5 Years,TATACONSUM,27%
3 Years,TATACONSUM,16%
TTM,TATACONSUM,16%
10 Years,TATAELXSI,27%
5 Years,TATAELXSI,22%
3 Years,TATAELXSI,29%
TTM,TATAELXSI,4%
10 Years,TATAINVEST,8%
5 Years,TATAINVEST,24%
3 Years,TATAINVEST,36%
TTM,TATAINVEST,19%
10 Years,TATAMOTORS,8%
5 Years,TATAMOTORS,93%
3 Years,TATAMOTORS,128%
TTM,TATAMOTORS,205%
10 Years,TATAPOWER,77%
5 Years,TATAPOWER,74%
3 Years,TATAPOWER,44%
TTM,TATAPOWER,9%
10 Years,TATATECH,%
5 Years,TATATECH,14%
3 Years,TATATECH,42%
TTM,TATATECH,9%
10 Years,TCS,9%
5 Years,TCS,8%
3 Years,TCS,12%
TTM,TCS,9%
10 Years,TECHM,-2%
5 Years,TECHM,-11%
3 Years,TECHM,-19%
TTM,TECHM,-43%
10 Years,TIINDIA,%
5 Years,TIINDIA,38%
3 Years,TIINDIA,62%
TTM,TIINDIA,-2%
10 Years,TITAGARH,51%
5 Years,TITAGARH,84%
3 Years,TITAGARH,181%
TTM,TITAGARH,68%
10 Years,TITAN,17%
5 Years,TITAN,20%
3 Years,TITAN,54%
TTM,TITAN,7%
10 Years,TORNTPHARM,9%
5 Years,TORNTPHARM,22%
3 Years,TORNTPHARM,8%
TTM,TORNTPHARM,32%
10 Years,TRENT,59%
5 Years,TRENT,57%
3 Years,TRENT,101%
TTM,TRENT,180%
10 Years,TVSMOTOR,25%
5 Years,TVSMOTOR,18%
3 Years,TVSMOTOR,39%
TTM,TVSMOTOR,19%
10 Years,UBL,6%
5 Years,UBL,-6%
3 Years,UBL,52%
TTM,UBL,44%
10 Years,UNITDSPR,9%
5 Years,UNITDSPR,16%
3 Years,UNITDSPR,52%
TTM,UNITDSPR,15%
10 Years,UNOMINDA,68%
5 Years,UNOMINDA,25%
3 Years,UNOMINDA,61%
TTM,UNOMINDA,29%
10 Years,VBL,49%
5 Years,VBL,47%
3 Years,VBL,77%
TTM,VBL,29%
10 Years,VINATIORGA,%
5 Years,VINATIORGA,%
3 Years,VINATIORGA,6%
TTM,VINATIORGA,-15%
10 Years,MANYAVAR,%
5 Years,MANYAVAR,18%
3 Years,MANYAVAR,46%
TTM,MANYAVAR,-8%
10 Years,VOLTAS,1%
5 Years,VOLTAS,-14%
3 Years,VOLTAS,-22%
TTM,VOLTAS,37%
10 Years,WESTLIFE,32%
5 Years,WESTLIFE,31%
3 Years,WESTLIFE,40%
TTM,WESTLIFE,-63%
10 Years,WIPRO,3%
5 Years,WIPRO,4%
3 Years,WIPRO,0%
TTM,WIPRO,-4%
10 Years,YASHO,%
5 Years,YASHO,%
3 Years,YASHO,39%
TTM,YASHO,-36%
10 Years,ZENTEC,112%
5 Years,ZENTEC,57%
3 Years,ZENTEC,257%
TTM,ZENTEC,89%
