Stock,10 Years,5 Years,3 Years,1 Year
526433,38%,88%,101%,113%
532407,51%,64%,83%,147%
544021,%,%,%,%
AARTIDRUGS,23%,32%,-10%,12%
AARTIIND,31%,12%,-6%,30%
AARTIPHARM,%,%,%,54%
AARTISURF,%,%,-20%,4%
ABB,26%,45%,73%,108%
ACC,6%,12%,9%,46%
ADANIENT,35%,86%,30%,36%
AFFLE,%,%,10%,23%
ALKYLAMINE,35%,43%,-17%,-26%
ANGELONE,%,%,48%,67%
ARE&M,11%,17%,21%,110%
ASAHIINDIA,24%,23%,24%,27%
ASHOKLEY,22%,22%,27%,43%
ASIANPAINT,18%,16%,-1%,-12%
ASTRAL,31%,32%,15%,15%
AXISBANK,12%,9%,17%,22%
BAJAJ-AUTO,16%,28%,34%,117%
BAJAJELEC,13%,18%,4%,-8%
BAJAJFINSV,33%,14%,10%,3%
BAJFINANCE,43%,15%,6%,-1%
BALAMINES,43%,43%,-5%,-6%
BATAINDIA,9%,1%,-4%,-11%
BEL,32%,53%,85%,148%
BERGEPAINT,20%,14%,-10%,-11%
BHARTIARTL,17%,33%,39%,72%
BOROLTD,%,%,21%,-9%
BRITANNIA,28%,14%,14%,7%
BSE,%,68%,110%,385%
CAMPUS,%,%,%,-13%
CDSL,%,57%,29%,104%
CGPOWER,28%,88%,104%,89%
COCHINSHIP,%,62%,118%,616%
CONCOR,12%,16%,18%,72%
CYIENT,18%,28%,30%,25%
DABUR,12%,9%,2%,7%
DEEPAKNTR,38%,54%,11%,11%
DIVISLAB,21%,23%,3%,28%
DIXON,%,92%,36%,142%
DMART,%,29%,13%,19%
DRREDDY,10%,19%,5%,25%
EICHERMOT,21%,20%,22%,41%
ETHOSLTD,%,%,%,90%
FINEORG,%,27%,18%,-5%
GMMPFAUDLR,38%,25%,-4%,-10%
GODREJPROP,29%,25%,29%,97%
GREENLAM,%,32%,39%,41%
GREENPANEL,%,%,13%,-5%
HAL,%,72%,117%,167%
HAPPSTMNDS,%,%,-1%,-4%
HAVELLS,24%,19%,23%,38%
HCLTECH,15%,21%,14%,26%
HDFCAMC,%,17%,11%,112%
HDFCBANK,15%,6%,3%,0%
HDFCLIFE,%,6%,-6%,-5%
HERITGFOOD,22%,22%,40%,173%
HEROMOTOCO,9%,17%,26%,109%
HINDUNILVR,15%,7%,0%,-8%
HLEGLAS,46%,67%,-15%,-32%
HNDFDS,53%,44%,6%,-7%
ICICIBANK,16%,21%,21%,20%
ICICIGI,%,%,%,%
ICICIPRULI,%,10%,2%,12%
IDEAFORGE,%,%,%,%
IDFCFIRSTB,%,13%,11%,-4%
INDIGO,%,22%,36%,76%
INDIGOPNTS,%,%,-19%,-3%
INFY,14%,15%,0%,15%
IRCON,%,47%,80%,220%
IRCTC,%,%,36%,52%
IREDA,%,%,%,%
ITC,7%,9%,28%,-5%
JIOFIN,%,%,%,%
JUBLFOOD,16%,16%,-7%,7%
KALYANKJIL,%,%,71%,201%
KAYNES,%,%,%,144%
KEI,70%,61%,90%,114%
KOTAKBANK,14%,2%,-1%,-6%
KPIGREEN,%,147%,344%,326%
KPITTECH,%,72%,84%,38%
LALPATHLAB,%,19%,-5%,30%
LATENTVIEW,%,%,%,44%
LT,13%,19%,36%,56%
LTIM,%,24%,7%,0%
LTTS,%,23%,20%,24%
LXCHEM,%,%,4%,-5%
M&M,18%,36%,55%,109%
MANKIND,%,%,%,32%
MARICO,18%,11%,6%,16%
MARUTI,18%,14%,23%,35%
MAZDOCK,%,%,148%,218%
METROBRAND,%,%,%,16%
MOLDTECH,41%,38%,65%,-16%
MOLDTKPAC,39%,27%,19%,-20%
MOTHERSON,13%,20%,11%,115%
MTARTECH,%,%,24%,-4%
MUFTI,%,%,%,%
MUTHOOTFIN,25%,23%,6%,50%
NAUKRI,25%,25%,8%,41%
NAVINFLUOR,40%,38%,2%,-24%
NAZARA,%,%,4%,26%
NEOGEN,%,34%,25%,0%
NESTLEIND,%,%,%,%
PAGEIND,%,%,%,%
PARAS,%,%,%,88%
PERSISTENT,30%,64%,44%,53%
PIDILITIND,26%,20%,14%,16%
PIIND,27%,25%,8%,-6%
POLYCAB,%,64%,54%,101%
PRINCEPIPE,%,%,%,%
RAILTEL,%,%,43%,227%
RAYMOND,21%,27%,81%,44%
RELAXO,%,%,%,%
RELIANCE,20%,20%,13%,26%
ROSSARI,%,%,-14%,-9%
ROUTE,%,%,-3%,-3%
RVNL,%,72%,132%,214%
SBICARD,%,%,%,%
SBIN,13%,19%,27%,48%
SIEMENS,24%,44%,57%,105%
SONACOMS,%,%,%,24%
SPICELEC,33%,94%,113%,134%
SRF,37%,32%,19%,0%
SUNPHARMA,9%,31%,31%,51%
TATACONSUM,21%,34%,15%,30%
TATAELXSI,38%,53%,26%,-5%
TATAMOTORS,9%,44%,43%,76%
TATAPOWER,16%,47%,55%,101%
TATATECH,%,%,%,%
TCS,13%,11%,5%,19%
TECHM,11%,14%,9%,25%
TIINDIA,%,62%,53%,45%
TITAGARH,37%,89%,199%,217%
TITAN,27%,22%,27%,19%
TORNTPHARM,24%,31%,26%,55%
TRENT,46%,66%,83%,207%
TVSMOTOR,33%,40%,60%,87%
UBL,12%,9%,16%,42%
UNITDSPR,9%,19%,24%,41%
UNOMINDA,61%,46%,47%,78%
VBL,%,65%,83%,105%
VINATIORGA,28%,12%,2%,2%
VOLTAS,21%,19%,13%,90%
WESTLIFE,8%,22%,17%,-6%
WIPRO,9%,11%,-5%,26%
YASHO,%,70%,64%,11%
ZENTEC,57%,74%,139%,174%
